class,precision,recall,f1-score,support
heavy_snow,0.0,0.0,0.0,24.0
light_rain_and_snow,0.0,0.0,0.0,2.0
heavy_intensity_drizzle,0.0,0.0,0.0,4.0
light_intensity_drizzle,0.0,0.0,0.0,80.0
heavy_intensity_rain,0.0,0.0,0.0,74.0
very_heavy_rain,0.0,0.0,0.0,16.0
overcast_clouds,0.16666666666666666,0.10892236384704519,0.1317449194113525,863.0
thunderstorm_with_rain,0.0,0.0,0.0,4.0
few_clouds,0.1336206896551724,0.047400611620795105,0.06997742663656885,654.0
moderate_rain,0.047619047619047616,0.005376344086021506,0.00966183574879227,186.0
broken_clouds,0.18785046728971963,0.16368078175895764,0.17493472584856395,1228.0
scattered_clouds,0.2309941520467836,0.08807134894091416,0.1275221953188055,897.0
sky_is_clear,0.2586605080831409,0.4444444444444444,0.327007299270073,2268.0
fog,0.2459016393442623,0.06976744186046512,0.10869565217391303,215.0
snow,0.0,0.0,0.0,20.0
light_rain,0.1557377049180328,0.07215189873417721,0.0986159169550173,790.0
mist,0.35246412975670616,0.5231481481481481,0.4211703317182258,1080.0
thunderstorm_with_heavy_rain,0.0,0.0,0.0,2.0
dust,0.0,0.0,0.0,4.0
haze,0.0,0.0,0.0,138.0
thunderstorm,0.02857142857142857,0.06666666666666667,0.04,15.0
thunderstorm_with_light_rain,0.0,0.0,0.0,8.0
proximity_thunderstorm,0.05555555555555555,0.043478260869565216,0.04878048780487805,23.0
drizzle,0.10526315789473684,0.044444444444444446,0.0625,45.0
light_snow,0.005194805194805195,0.02631578947368421,0.008676789587852493,76.0
micro avg,0.23624669805903295,0.23600275355667738,0.23612466280204328,8716.0
macro avg,0.07896399810384233,0.06815474179581316,0.06517150321896172,8716.0
weighted avg,0.20972963099623512,0.23600275355667738,0.20576548833235966,8716.0
