,month,humidity,pressure,temperature,wind,weather
0,spring,58,1012,15,7,few_clouds
1,spring,57,1012,15,7,few_clouds
2,spring,57,1012,15,7,few_clouds
3,spring,57,1012,15,7,few_clouds
4,spring,57,1012,15,6,few_clouds
5,spring,56,1012,15,6,few_clouds
6,spring,56,1012,15,6,few_clouds
7,spring,56,1012,15,6,few_clouds
8,spring,55,1012,15,6,few_clouds
9,spring,55,1012,15,6,few_clouds
10,spring,55,1012,15,6,few_clouds
11,spring,55,1012,16,6,few_clouds
12,spring,54,1012,16,6,few_clouds
13,spring,54,1012,16,6,few_clouds
14,spring,54,1012,16,6,few_clouds
15,spring,53,1012,16,6,few_clouds
16,spring,53,1012,16,6,few_clouds
17,spring,53,1012,16,6,few_clouds
18,spring,53,1012,16,6,few_clouds
19,spring,52,1012,16,6,few_clouds
20,spring,52,1012,16,6,few_clouds
21,spring,52,1012,16,5,few_clouds
22,spring,51,1012,16,5,few_clouds
23,spring,51,1012,16,5,few_clouds
24,spring,51,1012,17,5,few_clouds
25,spring,51,1012,17,5,few_clouds
26,spring,52,1012,18,5,few_clouds
27,spring,46,1011,20,6,scattered_clouds
28,spring,43,1012,21,5,scattered_clouds
29,spring,43,1012,20,5,scattered_clouds
30,spring,46,1013,17,5,broken_clouds
31,spring,46,1014,16,4,broken_clouds
32,spring,46,1014,15,4,sky_is_clear
33,spring,46,1015,15,4,broken_clouds
34,spring,59,1015,15,0,broken_clouds
35,spring,55,1015,15,2,broken_clouds
36,spring,52,1015,15,1,overcast_clouds
37,spring,55,1015,15,3,broken_clouds
38,spring,52,1015,16,2,overcast_clouds
39,spring,63,1015,16,0,overcast_clouds
40,spring,52,1015,16,0,overcast_clouds
41,spring,59,1016,16,0,overcast_clouds
42,spring,100,1016,16,0,overcast_clouds
43,spring,81,1016,17,1,overcast_clouds
44,spring,63,1017,18,2,overcast_clouds
45,spring,60,1017,19,2,overcast_clouds
46,spring,64,1017,19,3,broken_clouds
47,spring,68,1017,18,3,broken_clouds
48,spring,72,1017,18,4,mist
49,spring,82,1016,17,3,mist
50,spring,88,1016,17,4,mist
51,spring,93,1015,17,4,drizzle
52,spring,93,1015,17,5,moderate_rain
53,spring,96,1015,17,4,overcast_clouds
54,spring,100,1015,17,3,light_intensity_drizzle
55,spring,93,1015,17,3,light_intensity_drizzle
56,spring,100,1015,17,3,mist
57,spring,100,1016,17,3,light_rain
58,spring,100,1016,17,3,light_intensity_drizzle
59,spring,100,1015,17,3,fog
60,spring,100,1015,17,2,fog
61,spring,100,1016,17,3,fog
62,spring,100,1016,17,0,fog
63,spring,100,1016,17,2,mist
64,spring,93,1016,17,0,mist
65,spring,100,1016,17,2,fog
66,spring,100,1017,17,2,mist
67,spring,100,1018,17,2,mist
68,spring,100,1018,19,3,mist
69,spring,88,1018,20,0,light_intensity_drizzle
70,spring,83,1018,21,0,mist
71,spring,83,1018,22,0,mist
72,spring,88,1018,22,3,light_intensity_drizzle
73,spring,88,1018,21,3,mist
74,spring,88,1018,21,3,fog
75,spring,88,1018,21,3,mist
76,spring,88,1018,21,2,mist
77,spring,88,1019,21,2,light_rain
78,spring,94,1019,20,2,mist
79,spring,100,1020,20,1,fog
80,spring,100,1020,20,1,fog
81,spring,100,1020,20,0,mist
82,spring,100,1020,20,0,fog
83,spring,100,1020,19,0,fog
84,spring,96,1020,19,0,broken_clouds
85,spring,93,1020,18,0,fog
86,spring,96,1020,18,0,broken_clouds
87,spring,100,1020,19,0,fog
88,spring,94,1020,19,0,light_rain
89,spring,94,1020,20,0,fog
90,spring,94,1020,20,2,mist
91,spring,94,1020,21,2,light_rain
92,spring,88,1020,22,3,light_rain
93,spring,88,1019,22,4,light_intensity_drizzle
94,spring,88,1019,22,3,haze
95,spring,94,1019,22,2,haze
96,spring,94,1018,23,3,mist
97,spring,83,1018,22,3,haze
98,spring,78,1017,23,2,haze
99,spring,94,1017,22,1,light_rain
100,spring,83,1017,21,2,light_rain
101,spring,88,1017,20,1,fog
102,spring,88,1017,20,0,fog
103,spring,93,1018,19,0,mist
104,spring,88,1018,18,3,fog
105,spring,83,1018,17,4,fog
106,spring,88,1017,17,2,fog
107,spring,88,1018,16,2,fog
108,spring,100,1017,16,0,fog
109,spring,94,1017,15,1,sky_is_clear
110,spring,88,1017,15,2,fog
111,spring,88,1018,14,2,mist
112,spring,77,1018,14,3,mist
113,spring,72,1018,15,1,mist
114,spring,64,1018,18,0,sky_is_clear
115,spring,56,1018,21,2,sky_is_clear
116,spring,56,1018,23,2,sky_is_clear
